Year,Rank,Title
1999,237,Xiu Xiu: The Sent-Down Girl
1999,238,"I Have Given My Heart Away, Darling"
1999,239,Twin Falls Idaho
1999,240,Children of Heaven
1999,241,The Castle
1999,242,Edge of Seventeen
1999,243,Illuminata
1999,244,The King of Masks
1999,245,Felicia's Journey
1999,246,After Life
1999,247,Galapagos
1999,248,Sweet and Lowdown
1999,249,Body Shots
1999,250,The IMAX Nutcracker
1999,251,Tumbleweeds
1999,252,American History X
1999,253,Baadshah
1999,254,Magnolia
1999,255,Ringmaster
1999,256,My Life So Far
1999,257,Grey Owl
1999,258,Guinevere
1999,259,Laura Cadieux... la suite
1999,260,Fantasia 2000
1999,261,The Third Man
1999,262,Cradle Will Rock
1999,263,Urban Legend
1999,264,20 Dates
1999,265,Still Crazy
1999,266,Plunkett & Macleane
1999,267,The Celebration
1999,268,Ride with the Devil
1999,269,Home Fries
1999,270,Just the Ticket
1999,271,Earth
1999,272,The Last Days
1999,273,My Son the Fanatic
1999,274,The School of Flesh
1999,275,Dillagi
1999,276,Lucie Aubrac
1999,277,Happiness
1999,278,The Mask of Zorro
1999,279,Head On
1999,280,Genghis Blues
1999,281,Open Your Eyes
1999,282,The Minus Man
1999,283,My Name Is Joe
1999,284,"Black Cat, White Cat"
1999,285,"Girl, Interrupted"
1999,286,American Movie
1999,287,Practical Magic
1999,288,The Children of the Marshland
1999,289,Trekkies
1999,290,Lovers of the Arctic Circle
1999,291,Le dernier souffle
1999,292,Swear on India
1999,293,SLC Punk!
1999,295,Simon Sez
1999,296,Fervour
1999,297,Dil Kya Kare
1999,298,Twice Upon a Yesterday
1999,299,Beefcake
1999,300,Rosetta
1999,301,Life Is Beautiful  Dubbed
1999,302,Dancemaker
1999,303,The War Zone
1999,304,Dog Park
1999,305,Hello Brother
1999,306,The Harmonists
1999,307,One Man's Hero
1999,308,Babar: King of the Elephants
1999,309,Love Is the Devil: Study for a Portrait of Francis Bacon
1999,310,Hote Hote Pyar Hogaya
1999,311,The Swindle
1999,312,Revelation
1999,313,Belly
1999,314,I'll Be Home for Christmas
1999,315,Breakfast of Champions
1999,316,Sugar Town
1999,317,Show Me Love
1999,318,The Legend of 1900
1999,319,The Loss of Sexual Innocence
1999,320,Very Bad Things
1999,321,The Hi-Lo Country
1999,322,Mast
1999,323,The Hurricane
1999,324,Red King
1999,327,Silsila Hai Pyar Ka
1999,328,Topsy-Turvy
1999,329,Angela's Ashes
1999,330,Histoires d'hiver
1999,331,The Emperor and the Assassin
1999,332,Endurance
1999,333,Bedrooms and Hallways
1999,334,Waco: The Rules of Engagement
1999,335,Matroni et moi
1999,336,Haseena Maan Jaayegi
1999,337,Unconditional Love
1999,338,Thicker Than Water
1999,339,Perfect Blue
1999,340,The 24 Hour Woman
1999,341,Eternity and a Day
1999,342,The Adventures of Sebastian Cole
1999,343,Desert Blue
1999,345,Train of Life
1999,346,The Very Thought of You
1999,347,Bride of Chucky
1999,348,Snow Falling on Cedars
1999,349,Steam: The Turkish Bath
1999,350,Sunshine
1999,351,Vaastav: The Reality
1999,352,Virtual Sexuality
1999,353,Uproar
1999,354,"Late August, Early September"
1999,355,Just a Little Harmless Sex
1999,356,Titus
1999,357,Shattered Image
1999,358,Shiloh 2: Shiloh Season
1999,359,"God Said, 'Ha!'"
1999,360,Six Ways to Sunday
1999,361,The Grandfather
1999,362,Southie
1999,363,Such a Long Journey
1999,364,Only You
1999,365,Following
1999,366,International Khiladi
1999,367,On the Ropes
1999,368,Get Bruce
1999,369,Regret to Inform
1999,370,The Theory of Flight
1999,371,Dahek: A Burning Passion
1999,372,B. Monkey
1999,373,Whiteboyz
1999,374,Man of the Century
1999,375,Friends & Lovers
1999,376,Holy Smoke
1999,377,Beyond the Clouds
1999,378,Free Enterprise
1999,379,The Lovers on the Bridge
1999,380,Beyond Beautiful
1999,381,Best Laid Plans
1999,382,Finding North
1999,383,The Joyriders
1999,384,Metroland
1999,385,All the Little Animals
1999,387,Last Night
1999,389,42 Up
1999,390,Frogs for Snakes
1999,391,New Rose Hotel
1999,392,Clubland
1999,393,Onegin
1999,394,Molly
1999,395,The Mighty Peking Man
1999,396,Beyond the Mat
1999,397,2by4
1999,398,A Map of the World
1999,399,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr."
1999,400,The Apple
1999,401,"Blood, Guts, Bullets and Octane"
1999,402,Dry Cleaning
1999,403,La Cucaracha
1999,404,I'm Losing You
1999,405,Among Giants
1999,406,The Winners
1999,407,Diamonds
1999,409,The Third Miracle
1999,410,Dreaming of Joseph Lees
1999,411,Joe the King
1999,412,Across the Sea of Time
1999,413,Hell's Kitchen
1999,414,Tout Truffaut  Film Festival
1999,416,Agnes Browne
1999,417,Taxman
1999,418,The Book of Life
1999,419,Eight Days a Week
1999,420,Sparkler
1999,421,I Stand Alone
1999,422,Speaking in Strings
1999,423,Let It Come Down: The Life of Paul Bowles
1999,424,Devil's Island
