Year,Rank,Title
2018,1,Black Panther
2018,2,Avengers: Infinity War
2018,3,Incredibles 2
2018,4,Jurassic World: Fallen Kingdom
2018,5,Deadpool 2
2018,6,The Grinch
2018,7,Jumanji: Welcome to the Jungle
2018,8,Mission: Impossible - Fallout
2018,9,Ant-Man and the Wasp
2018,10,Solo: A Star Wars Story
2018,11,Venom
2018,12,A Star Is Born
2018,13,Aquaman
2018,14,Bohemian Rhapsody
2018,15,A Quiet Place
2018,16,Ralph Breaks the Internet
2018,17,Crazy Rich Asians
2018,18,Hotel Transylvania 3: Summer Vacation
2018,19,Halloween
2018,20,Fantastic Beasts: The Crimes of Grindelwald
2018,21,The Meg
2018,22,Ocean's 8
2018,23,Ready Player One
2018,24,The Greatest Showman
2018,25,Mamma Mia! Here We Go Again
2018,26,The Nun
2018,27,Peter Rabbit
2018,28,Creed II
2018,29,Spider-Man: Into the Spider-Verse
2018,30,Mary Poppins Returns
2018,31,Star Wars: Episode VIII - The Last Jedi
2018,32,The Equalizer 2
2018,33,Rampage
2018,34,A Wrinkle in Time
2018,35,Fifty Shades Freed
2018,36,Christopher Robin
2018,37,I Can Only Imagine
2018,38,Smallfoot
2018,39,The Post
2018,40,Night School
2018,41,Bumblebee
2018,42,The First Purge
2018,43,Game Night
2018,44,Book Club
2018,45,The House with a Clock in Its Walls
2018,46,Skyscraper
2018,47,Insidious: The Last Key
2018,48,Instant Family
2018,49,The Mule
2018,50,Blockers
2018,51,Pacific Rim: Uprising
2018,52,Tomb Raider
2018,53,Maze Runner: The Death Cure
2018,54,Tag
2018,55,The Nutcracker and the Four Realms
2018,56,A Simple Favor
2018,57,Life of the Party
2018,58,The Predator
2018,59,Overboard
2018,60,Sicario: Day of the Soldado
2018,61,I Feel Pretty
2018,62,BlacKkKlansman
2018,63,The Shape of Water
2018,64,Red Sparrow
2018,65,Breaking In
2018,66,Goosebumps 2: Haunted Halloween
2018,67,12 Strong
2018,68,Den of Thieves
2018,69,First Man
2018,70,Hereditary
2018,71,Tyler Perry's Acrimony
2018,72,Sherlock Gnomes
2018,73,Uncle Drew
2018,74,Widows
2018,75,Pitch Perfect 3
2018,76,Truth or Dare
2018,77,Paddington 2
2018,78,"Love, Simon"
