Year,Rank,Title
2001,1,Harry Potter and the Sorcerer's Stone
2001,2,Shrek
2001,3,"Monsters, Inc."
2001,4,Rush Hour 2
2001,5,The Mummy Returns
2001,6,Pearl Harbor
2001,7,Jurassic Park III
2001,8,Planet of the Apes
2001,9,Hannibal
2001,10,The Lord of the Rings: The Fellowship of the Ring
2001,11,American Pie 2
2001,12,The Fast and the Furious
2001,13,Ocean's Eleven
2001,14,Lara Croft: Tomb Raider
2001,15,Traffic
2001,16,Cast Away
2001,17,"Crouching Tiger, Hidden Dragon"
2001,18,Dr. Dolittle 2
2001,19,Spy Kids
2001,20,The Princess Diaries
2001,21,The Others
2001,22,Legally Blonde
2001,23,America's Sweethearts
2001,24,Cats & Dogs
2001,25,Save the Last Dance
2001,26,Atlantis: The Lost Empire
2001,27,A.I. Artificial Intelligence
2001,28,Training Day
2001,29,Along Came a Spider
2001,30,What Women Want
2001,31,Bridget Jones's Diary
2001,32,Scary Movie 2
2001,33,The Score
2001,34,Swordfish
2001,35,Vanilla Sky
2001,36,Shallow Hal
2001,37,Chocolat
2001,38,The Mexican
2001,39,Miss Congeniality
2001,40,Down to Earth
2001,41,Spy Game
2001,42,The Wedding Planner
2001,43,The Animal
2001,44,Moulin Rouge!
2001,45,Rat Race
2001,46,A Knight's Tale
2001,47,Don't Say a Word
2001,48,Blow
2001,49,Exit Wounds
2001,50,Enemy at the Gates
2001,51,K-PAX
2001,52,Behind Enemy Lines
2001,53,Serendipity
2001,54,Finding Forrester
2001,55,Jimmy Neutron: Boy Genius
2001,56,Zoolander
2001,57,Domestic Disturbance
2001,58,"O Brother, Where Art Thou?"
2001,59,The One
2001,60,Thir13en Ghosts
2001,61,Bandits
2001,62,Heartbreakers
2001,63,Hardball
2001,64,Evolution
2001,65,Jeepers Creepers
2001,66,The Emperor's New Groove
2001,67,Kiss of the Dragon
2001,68,Recess: School's Out
2001,69,Ali
2001,70,The Family Man
2001,71,Thirteen Days
2001,72,See Spot Run
2001,73,Driven
2001,74,What's the Worst That Could Happen?
2001,75,Final Fantasy: The Spirits Within
2001,76,Black Knight
2001,77,From Hell
2001,78,Not Another Teen Movie
2001,79,Snatch
2001,80,Riding in Cars with Boys
