Year,Rank,Title
2015,1,Jurassic World
2015,2,Star Wars: Episode VII - The Force Awakens
2015,3,Avengers: Age of Ultron
2015,4,Inside Out
2015,5,Furious 7
2015,6,American Sniper
2015,7,Minions
2015,8,The Hunger Games: Mockingjay - Part 2
2015,9,The Martian
2015,10,Cinderella
2015,11,Spectre
2015,12,Mission: Impossible - Rogue Nation
2015,13,Pitch Perfect 2
2015,14,Ant-Man
2015,15,Home
2015,16,Hotel Transylvania 2
2015,17,Fifty Shades of Grey
2015,18,The SpongeBob Movie: Sponge Out of Water
2015,19,Straight Outta Compton
2015,20,San Andreas
2015,21,Mad Max: Fury Road
2015,22,The Divergent Series: Insurgent
2015,23,Kingsman: The Secret Service
2015,24,The Peanuts Movie
2015,25,Spy
2015,26,The Good Dinosaur
2015,27,Trainwreck
2015,28,Creed
2015,29,Tomorrowland
2015,30,Get Hard
2015,31,Terminator Genisys
2015,32,Taken 3
2015,33,Maze Runner: The Scorch Trials
2015,34,Ted 2
2015,35,Goosebumps
2015,36,Pixels
2015,37,Paddington
2015,38,The Intern
2015,39,The Imitation Game
2015,40,Paul Blart: Mall Cop 2
2015,41,Bridge of Spies
2015,42,War Room
2015,43,Magic Mike XXL
2015,44,The Hobbit: The Battle of the Five Armies
2015,45,The Visit
2015,46,Daddy's Home
2015,47,The Wedding Ringer
2015,48,Into the Woods
2015,49,Black Mass
2015,50,Vacation
2015,51,The Perfect Guy
2015,52,Fantastic Four
2015,53,Alvin and the Chipmunks: The Road Chip
2015,54,Focus
2015,55,Unbroken
2015,56,Southpaw
2015,57,Insidious: Chapter 3
2015,58,Selma
2015,59,Sisters
2015,60,Poltergeist
2015,61,Jupiter Ascending
2015,62,Sicario
2015,63,The Man from U.N.C.L.E.
2015,64,"McFarland, USA"
2015,65,Night at the Museum: Secret of the Tomb
2015,66,The Gift
2015,67,Everest
2015,68,The Night Before
2015,69,Max
2015,70,The Age of Adaline
2015,71,Krampus
2015,72,The Longest Ride
2015,73,The Boy Next Door
2015,74,Pan
2015,75,Hot Pursuit
2015,76,The DUFF
2015,77,Woman in Gold
2015,78,The Second Best Exotic Marigold Hotel
