,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kevin James,5.9,5.85,5.85,5.776923076923078,5.776923076923078,5.776923076923078,5.814285714285715,5.814285714285715,5.814285714285715
Channing Tatum,6.45,6.3625,6.433333333333334,6.254545454545454,6.254545454545454,6.346153846153846,6.364285714285714,6.364285714285714,6.364285714285714
Seth Rogen,6.460000000000001,6.483333333333334,6.457142857142857,6.533333333333333,6.418181818181818,6.5,6.5,6.55,6.55
Woody Harrelson,7.766666666666666,7.3,7.183333333333334,7.085714285714286,7.012499999999999,7.163636363636362,7.141666666666666,7.078571428571428,7.078571428571428
George Clooney,6.9625,7.044444444444445,6.95,6.9,6.823076923076924,6.823076923076924,6.823076923076924,6.823076923076924,6.823076923076924
Charlize Theron,6.74,6.74,6.633333333333334,6.842857142857143,6.866666666666666,6.85,6.85,6.761538461538461,6.761538461538461
John Leguizamo,6.425000000000001,6.425000000000001,6.400000000000001,6.370000000000001,6.366666666666667,6.366666666666667,6.366666666666667,6.253846153846155,6.253846153846155
Jennifer Aniston,6.3375,6.411111111111111,6.4,6.4,6.3307692307692305,6.3307692307692305,6.3307692307692305,6.3307692307692305,6.3307692307692305
Mark Ruffalo,7.239999999999999,7.249999999999999,7.2714285714285705,7.366666666666666,7.279999999999999,7.336363636363637,7.425000000000001,7.500000000000001,7.500000000000001
Emily Blunt,6.6,6.6,6.685714285714285,6.800000000000001,6.722222222222223,6.660000000000001,6.615384615384617,6.615384615384617,6.615384615384617
Chris Hemsworth,6.166666666666667,6.35,6.35,6.428571428571428,6.387499999999999,6.5555555555555545,6.727272727272726,6.769230769230768,6.769230769230768
Jim Carrey,6.699999999999999,6.699999999999999,6.608333333333332,6.608333333333332,6.608333333333332,6.608333333333332,6.608333333333332,6.608333333333332,6.608333333333332
Josh Brolin,7.05,7.05,6.9624999999999995,7.033333333333333,6.959999999999999,6.959999999999999,7.033333333333332,7.033333333333332,7.033333333333332
John Goodman,6.8999999999999995,6.957142857142856,6.8375,6.722222222222222,6.7700000000000005,6.763636363636365,6.763636363636365,6.7,6.7
Ben Affleck,6.5875,6.5875,6.755555555555556,6.755555555555556,6.7727272727272725,6.741666666666667,6.741666666666667,6.741666666666667,6.741666666666667
Jennifer Garner,6.066666666666666,6.066666666666666,6.175,6.175,6.277777777777778,6.277777777777778,6.418181818181818,6.366666666666666,6.366666666666666
Chris Evans,6.5,6.5,6.7,6.785714285714286,6.9125,6.988888888888889,7.13,7.300000000000001,7.300000000000001
Ralph Fiennes,6.466666666666666,6.466666666666666,6.7,6.7125,6.779999999999999,6.827272727272727,6.574999999999999,6.574999999999999,6.574999999999999
Meryl Streep,6.6428571428571415,6.6428571428571415,6.544444444444444,6.4799999999999995,6.509090909090909,6.509090909090909,6.5249999999999995,6.5249999999999995,6.5249999999999995
Tyler Perry,5.1,5.0625,5.4,5.4,5.381818181818182,5.25,5.25,5.25,5.25
Bill Nighy,6.7857142857142865,6.7125,6.533333333333334,6.540000000000001,6.254545454545456,6.254545454545456,6.254545454545456,6.283333333333334,6.283333333333334
Idris Elba,5.325,5.640000000000001,5.640000000000001,5.666666666666667,6.175000000000001,6.140000000000001,6.140000000000001,5.875000000000001,5.875000000000001
Bradley Cooper,7.0,6.857142857142857,7.0,6.781818181818181,6.781818181818181,6.781818181818181,6.858333333333333,6.858333333333333,6.858333333333333
Ed Helms,6.833333333333333,6.659999999999999,6.659999999999999,6.457142857142856,6.387499999999999,6.279999999999999,6.308333333333334,6.308333333333334,6.308333333333334
Rose Byrne,6.550000000000001,6.516666666666667,6.3375,6.411111111111111,6.340000000000001,6.340000000000001,6.427272727272728,6.3999999999999995,6.3999999999999995
Russell Crowe,7.5875,7.5875,7.260000000000001,7.260000000000001,7.272727272727274,7.272727272727274,7.272727272727274,7.272727272727274,7.272727272727274
Anna Faris,5.6875,5.766666666666667,5.766666666666667,5.766666666666667,5.766666666666667,5.52,5.5636363636363635,5.5636363636363635,5.5636363636363635
Eddie Murphy,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818,5.718181818181818
Paul Giamatti,6.3125,6.322222222222222,6.35,6.445454545454546,6.445454545454546,6.445454545454546,6.445454545454546,6.445454545454546,6.445454545454546
Seann William Scott,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454,6.254545454545454
Ice Cube,5.716666666666666,5.716666666666666,5.9375,5.9375,5.93,5.8999999999999995,5.8999999999999995,5.8999999999999995,5.8999999999999995
Keanu Reeves,6.625,6.625,6.711111111111111,6.711111111111111,6.711111111111111,6.790000000000001,6.790000000000001,6.854545454545455,6.854545454545455
Leonardo DiCaprio,7.9,7.860000000000001,7.860000000000001,7.860000000000001,7.860000000000001,7.860000000000001,7.860000000000001,7.845454545454547,7.845454545454547
Kate Beckinsale,6.5,6.5,6.5,6.5,6.49,6.427272727272728,6.427272727272728,6.427272727272728,6.427272727272728
Gary Oldman,6.739999999999999,6.739999999999999,6.771428571428571,6.771428571428571,6.771428571428571,6.81,6.79090909090909,6.79090909090909,6.79090909090909
Antonio Banderas,5.7875,5.7875,5.822222222222222,5.9363636363636365,5.9363636363636365,5.9363636363636365,5.9363636363636365,5.9363636363636365,5.9363636363636365
Carla Gugino,5.833333333333333,5.833333333333333,5.833333333333333,5.85,5.85,5.9,5.9,5.9,5.9
Nicole Kidman,6.35,6.35,6.35,6.344444444444444,6.344444444444444,6.339999999999999,6.339999999999999,6.381818181818181,6.381818181818181
Alec Baldwin,6.114285714285714,6.114285714285714,6.114285714285714,6.188888888888889,6.188888888888889,6.2,6.2,6.254545454545454,6.254545454545454
Jude Law,7.0375,7.0375,7.0375,7.033333333333333,7.033333333333333,7.0,7.0,6.990909090909091,6.990909090909091
Halle Berry,6.028571428571429,6.1125,6.1125,6.1125,6.088888888888889,6.069999999999999,6.069999999999999,6.199999999999999,6.199999999999999
Kristen Stewart,5.45,5.45,5.45,5.720000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001
Shia LaBeouf,6.5600000000000005,6.5600000000000005,6.654545454545455,6.654545454545455,6.654545454545455,6.654545454545455,6.654545454545455,6.654545454545455,6.654545454545455
Judi Dench,6.9333333333333345,6.9333333333333345,6.9333333333333345,6.885714285714287,6.862500000000001,6.82,6.82,6.445454545454546,6.445454545454546
Scarlett Johansson,7.766666666666667,7.766666666666667,7.449999999999999,7.449999999999999,7.449999999999999,7.109999999999999,7.109999999999999,7.181818181818182,7.181818181818182
Will Arnett,6.066666666666666,6.066666666666666,6.233333333333333,6.233333333333333,6.2,6.233333333333333,5.98,6.036363636363637,6.036363636363637
Amy Adams,6.82,6.9,6.9,6.9,7.01,7.01,7.027272727272727,7.027272727272727,7.027272727272727
James McAvoy,6.566666666666667,6.566666666666667,6.925000000000001,6.925000000000001,6.92,6.942857142857143,6.7250000000000005,6.627272727272728,6.627272727272728
Zac Efron,6.0,6.0,6.066666666666666,6.066666666666666,5.999999999999999,6.1,6.1,6.1,6.1
Mila Kunis,6.8,6.728571428571428,6.728571428571428,6.55,6.511111111111111,6.42,6.381818181818182,6.381818181818182,6.381818181818182
Zach Galifianakis,6.328571428571429,6.2625,6.4222222222222225,6.4222222222222225,6.318181818181818,6.318181818181818,6.318181818181818,6.318181818181818,6.318181818181818
Chris Pine,7.075,7.2,6.871428571428572,6.871428571428572,6.959999999999999,7.0,7.0,7.0,7.0
Harrison Ford,6.24,6.471428571428572,6.471428571428572,6.5625,6.5625,6.722222222222222,6.722222222222222,6.7,6.7
Ben Kingsley,7.0,7.0,6.828571428571428,6.7875000000000005,6.855555555555556,6.855555555555556,6.83,6.83,6.83
Jackie Chan,6.375,6.375,6.375,6.375,6.375,6.4,6.4,6.4,6.4
Dennis Quaid,6.5,6.5,6.5,6.5,6.5,6.5875,6.666666666666667,6.75,6.75
Michael Caine,7.012499999999999,7.012499999999999,7.012499999999999,7.088888888888889,7.088888888888889,7.039999999999999,7.039999999999999,7.039999999999999,7.039999999999999
Edward Norton,6.9,6.9,7.0,7.0,6.977777777777778,6.977777777777778,6.977777777777778,6.959999999999999,6.959999999999999
Ashton Kutcher,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001,6.090000000000001
Ewan McGregor,6.900000000000001,6.800000000000002,6.800000000000002,6.637499999999999,6.637499999999999,6.637499999999999,6.71111111111111,6.779999999999999,6.779999999999999
Jeff Bridges,7.283333333333332,7.283333333333332,7.171428571428571,6.9625,7.033333333333334,7.033333333333334,7.040000000000001,7.040000000000001,7.040000000000001
Jason Statham,6.233333333333333,6.233333333333333,6.199999999999999,6.483333333333333,6.371428571428572,6.4125,6.333333333333333,6.34,6.34
Willem Dafoe,6.959999999999999,6.959999999999999,7.033333333333332,7.033333333333332,7.033333333333332,6.824999999999999,6.844444444444444,6.839999999999999,6.839999999999999
Abigail Breslin,7.0,6.9222222222222225,6.9222222222222225,6.9222222222222225,6.9222222222222225,6.9222222222222225,6.9222222222222225,6.9,6.9
Paul Rudd,6.857142857142857,6.7875,6.7875,6.844444444444444,6.844444444444444,6.844444444444444,6.869999999999999,6.869999999999999,6.869999999999999
Kate Winslet,7.125,7.125,7.016666666666667,6.9375,6.922222222222222,6.87,6.87,6.87,6.87
Michael Keaton,5.15,5.15,6.0249999999999995,6.433333333333334,6.433333333333334,6.6000000000000005,6.6000000000000005,6.57,6.57
Josh Hutcherson,6.1499999999999995,6.387499999999999,6.4111111111111105,6.419999999999999,6.419999999999999,6.419999999999999,6.419999999999999,6.419999999999999,6.419999999999999
Jonah Hill,7.200000000000001,7.257142857142859,7.225,7.225,7.1,7.1,7.1,7.1,7.1
Jason Bateman,6.449999999999999,6.299999999999999,6.3428571428571425,6.3428571428571425,6.466666666666667,6.466666666666667,6.510000000000001,6.510000000000001,6.510000000000001
Patrick Wilson,6.833333333333333,6.92,6.92,6.92,6.983333333333333,6.983333333333333,6.9,6.779999999999999,6.779999999999999
Jesse Eisenberg,7.400000000000001,7.375000000000001,7.160000000000001,6.983333333333334,6.822222222222222,6.822222222222222,6.822222222222222,6.81,6.81
Jennifer Lawrence,7.2,7.3,7.125,6.933333333333334,6.928571428571429,6.8875,6.855555555555556,6.75,6.75
Diane Lane,6.55,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
Tommy Lee Jones,6.699999999999999,6.699999999999999,6.699999999999999,6.699999999999999,6.5625,6.5625,6.5625,6.566666666666666,6.566666666666666
Jennifer Lopez,5.733333333333333,5.733333333333333,5.733333333333333,5.585714285714286,5.585714285714286,5.585714285714286,5.6125,5.688888888888888,5.688888888888888
Natalie Portman,7.171428571428572,7.1375,7.1375,7.1375,7.1375,7.1375,7.111111111111111,7.111111111111111,7.111111111111111
Rachel Weisz,7.016666666666667,6.914285714285714,6.914285714285714,6.914285714285714,6.95,6.95,7.011111111111111,7.011111111111111,7.011111111111111
Orlando Bloom,7.8999999999999995,7.8999999999999995,7.8999999999999995,7.8999999999999995,7.8999999999999995,7.7555555555555555,7.7555555555555555,7.7555555555555555,7.7555555555555555
Michelle Rodriguez,6.457142857142857,6.457142857142857,6.457142857142857,6.457142857142857,6.457142857142857,6.487499999999999,6.533333333333332,6.533333333333332,6.533333333333332
John Cusack,6.4875,6.4875,6.4875,6.588888888888889,6.588888888888889,6.588888888888889,6.588888888888889,6.588888888888889,6.588888888888889
Chris Rock,6.228571428571428,6.125,6.155555555555555,6.155555555555555,6.155555555555555,6.155555555555555,6.155555555555555,6.155555555555555,6.155555555555555
Sylvester Stallone,6.359999999999999,6.359999999999999,6.316666666666666,6.5,6.5,6.5,6.574999999999999,6.533333333333333,6.533333333333333
Keira Knightley,7.3,7.3,7.2625,7.2625,7.2625,7.2625,7.066666666666666,7.066666666666666,7.066666666666666
Kate Hudson,5.942857142857143,5.942857142857143,5.942857142857143,5.942857142857143,5.9125,6.055555555555555,6.055555555555555,6.055555555555555,6.055555555555555
Rosario Dawson,6.416666666666667,6.416666666666667,6.414285714285714,6.414285714285714,6.414285714285714,6.366666666666667,6.366666666666667,6.366666666666667,6.366666666666667
Jake Gyllenhaal,7.040000000000001,7.216666666666668,7.314285714285715,7.314285714285715,7.3375,7.3375,7.3375,7.355555555555556,7.355555555555556
Ryan Gosling,7.433333333333333,7.249999999999999,7.249999999999999,7.359999999999999,7.457142857142856,7.525,7.5,7.5,7.5
Daniel Craig,6.95,6.95,6.95,6.928571428571429,6.928571428571429,6.9375,6.9375,7.044444444444444,7.044444444444444
Michelle Monaghan,6.533333333333332,6.533333333333332,6.557142857142857,6.425,6.425,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333
Michael Peña,6.550000000000001,6.550000000000001,6.900000000000001,6.900000000000001,6.875000000000001,6.6000000000000005,6.6625,6.588888888888889,6.588888888888889
Amanda Seyfried,6.699999999999999,6.7,6.6000000000000005,6.5249999999999995,6.5249999999999995,6.5249999999999995,6.544444444444444,6.544444444444444,6.544444444444444
Viola Davis,6.633333333333333,7.0,6.9799999999999995,6.716666666666666,6.6875,6.6875,6.711111111111111,6.711111111111111,6.711111111111111
Jeremy Renner,7.3999999999999995,7.139999999999999,7.139999999999999,7.183333333333333,7.285714285714285,7.3375,7.2444444444444445,7.2444444444444445,7.2444444444444445
Helen Mirren,7.0,6.966666666666666,7.05,7.1,7.133333333333333,7.133333333333333,6.7125,6.7,6.7
Kristen Wiig,6.8,7.05,7.05,7.366666666666667,6.533333333333332,6.3999999999999995,6.3999999999999995,6.4111111111111105,6.4111111111111105
Vera Farmiga,7.1,7.233333333333333,7.275,7.275,7.279999999999999,7.279999999999999,7.116666666666666,6.733333333333333,6.733333333333333
Anna Kendrick,7.1,7.1,6.7,6.625,6.614285714285714,6.5125,6.544444444444444,6.544444444444444,6.544444444444444
Melissa McCarthy,,6.15,6.1000000000000005,6.28,6.0,6.0,5.888888888888889,5.888888888888889,5.888888888888889
John C. Reilly,6.8,6.8,6.8,6.8,6.8,6.766666666666667,6.4375,6.4375,6.4375
Marlon Wayans,5.583333333333333,5.583333333333333,5.457142857142857,5.457142857142857,5.2125,5.2125,5.2125,5.2125,5.2125
Drew Barrymore,5.785714285714286,5.785714285714286,5.875,5.875,5.875,5.875,5.875,5.875,5.875
Gabrielle Union,6.225,6.225,6.183333333333334,6.183333333333334,6.183333333333334,6.1000000000000005,6.012499999999999,6.012499999999999,6.012499999999999
Don Cheadle,6.628571428571428,6.628571428571428,6.628571428571428,6.628571428571428,6.5375,6.5375,6.5375,6.5375,6.5375
Paul Walker,6.583333333333332,6.583333333333332,6.457142857142856,6.5375,6.5375,6.5375,6.5375,6.5375,6.5375
Daniel Radcliffe,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005,7.4750000000000005
Helena Bonham Carter,6.600000000000001,6.600000000000001,6.600000000000001,6.642857142857144,6.5875,6.5875,6.5875,6.5875,6.5875
Anthony Hopkins,6.480000000000001,6.500000000000001,6.385714285714287,6.385714285714287,6.385714285714287,6.2375,6.2375,6.2375,6.2375
Hugh Grant,6.6499999999999995,6.6499999999999995,6.6499999999999995,6.6499999999999995,6.671428571428571,6.671428571428571,6.8125,6.8125,6.8125
John Travolta,6.175,6.175,6.175,6.175,6.175,6.175,6.175,6.175,6.175
Penélope Cruz,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,6.1000000000000005,6.15,6.15,6.15,6.15
Tom Wilkinson,6.733333333333334,6.685714285714286,6.685714285714286,6.525,6.525,6.525,6.525,6.525,6.525
James Franco,7.275,7.0,7.0,7.0,6.885714285714286,6.95,6.95,6.95,6.95
Emma Watson,7.633333333333334,7.633333333333334,7.3571428571428585,7.3571428571428585,7.3571428571428585,7.325,7.325,7.325,7.325
Clive Owen,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333,7.0,7.0,6.8374999999999995,6.8374999999999995
Robin Williams,6.0,6.0,6.025,6.025,6.025,6.025,6.025,6.025,6.025
Stanley Tucci,6.6,6.533333333333334,6.4,6.4,6.4,6.4,6.0625,6.0625,6.0625
Zoe Saldana,5.75,6.14,6.45,6.45,6.542857142857144,6.675,6.675,6.675,6.675
Joseph Gordon-Levitt,7.675000000000001,7.675000000000001,7.44,7.271428571428571,7.275,7.275,7.275,7.275,7.275
Elizabeth Banks,6.566666666666666,6.566666666666666,6.85,6.959999999999999,6.959999999999999,6.959999999999999,6.699999999999999,6.6125,6.6125
Kevin Costner,7.15,7.15,6.7,6.785714285714286,6.785714285714286,6.785714285714286,6.785714285714286,6.875,6.875
Bryce Dallas Howard,6.7,6.7,6.7,6.775,6.760000000000001,6.750000000000001,6.671428571428573,6.75,6.75
Tina Fey,6.625,6.625,6.583333333333333,6.5,6.5125,6.5125,6.5125,6.5125,6.5125
Blake Lively,6.175,6.175,6.175,6.38,6.3999999999999995,6.3999999999999995,6.449999999999999,6.449999999999999,6.449999999999999
Taraji P. Henson,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.800000000000001,5.887499999999999,5.887499999999999
Hailee Steinfeld,7.6,7.1,6.949999999999999,6.839999999999999,6.916666666666665,6.916666666666665,7.0875,7.0875,7.0875
Liam Hemsworth,6.599999999999999,6.824999999999999,6.779999999999999,6.733333333333333,6.514285714285714,6.514285714285714,6.514285714285714,6.4375,6.4375
Jason Sudeikis,6.266666666666666,6.449999999999999,6.419999999999999,6.419999999999999,6.3,6.3,6.3,6.425,6.425
Famke Janssen,6.840000000000001,6.716666666666668,6.716666666666668,6.614285714285715,6.614285714285715,6.614285714285715,6.614285714285715,6.614285714285715,6.614285714285715
Martin Lawrence,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Mel Gibson,6.8500000000000005,6.8500000000000005,6.8500000000000005,6.8500000000000005,6.8500000000000005,6.728571428571429,6.728571428571429,6.728571428571429,6.728571428571429
Renée Zellweger,6.566666666666666,6.566666666666666,6.566666666666666,6.566666666666666,6.557142857142857,6.557142857142857,6.557142857142857,6.557142857142857,6.557142857142857
Liev Schreiber,6.139999999999999,6.139999999999999,6.139999999999999,6.466666666666666,6.466666666666666,6.414285714285714,6.414285714285714,6.414285714285714,6.414285714285714
Jet Li,6.1499999999999995,6.1499999999999995,6.142857142857143,6.142857142857143,6.142857142857143,6.142857142857143,6.142857142857143,6.142857142857143,6.142857142857143
Jim Caviezel,7.140000000000001,7.140000000000001,7.066666666666667,7.066666666666667,7.066666666666667,7.066666666666667,7.000000000000001,7.000000000000001,7.000000000000001
Radha Mitchell,6.92,6.92,6.92,6.92,6.5,6.471428571428571,6.471428571428571,6.471428571428571,6.471428571428571
Gwyneth Paltrow,6.533333333333334,6.533333333333334,6.533333333333334,6.385714285714286,6.385714285714286,6.385714285714286,6.385714285714286,6.385714285714286,6.385714285714286
Diane Keaton,5.966666666666668,5.966666666666668,5.925000000000001,5.9,5.9,5.9,5.933333333333334,5.928571428571429,5.928571428571429
Rupert Grint,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428,7.628571428571428
Steve Buscemi,6.875,6.959999999999999,6.959999999999999,6.959999999999999,6.959999999999999,6.849999999999999,6.8999999999999995,6.8999999999999995,6.8999999999999995
Julianne Moore,6.525,6.525,6.6,6.571428571428571,6.571428571428571,6.571428571428571,6.571428571428571,6.571428571428571,6.571428571428571
Colin Firth,6.5,6.5,6.5,6.7,6.7,6.700000000000001,6.700000000000001,6.700000000000001,6.700000000000001
Michael Douglas,5.975,6.1,6.05,6.228571428571428,6.228571428571428,6.228571428571428,6.228571428571428,6.228571428571428,6.228571428571428
Sigourney Weaver,6.7,6.7,6.583333333333333,6.614285714285714,6.614285714285714,6.614285714285714,6.614285714285714,6.614285714285714,6.614285714285714
Justin Long,5.766666666666667,5.766666666666667,5.766666666666667,5.6571428571428575,5.6571428571428575,5.6571428571428575,5.6571428571428575,5.6571428571428575,5.6571428571428575
Linda Cardellini,5.1,5.1,5.1,5.466666666666666,5.466666666666666,5.8999999999999995,6.3999999999999995,6.242857142857142,6.242857142857142
Naomi Watts,6.566666666666667,6.566666666666667,6.7250000000000005,6.640000000000001,6.483333333333334,6.571428571428572,6.571428571428572,6.571428571428572,6.571428571428572
Nicholas Hoult,7.0,6.7,6.7,7.050000000000001,7.0200000000000005,7.0200000000000005,7.1000000000000005,6.914285714285714,6.914285714285714
Emma Thompson,7.066666666666666,7.175,7.175,7.0,7.0,7.0,7.0,6.857142857142857,6.857142857142857
Zooey Deschanel,6.55,6.55,6.55,6.55,6.542857142857143,6.542857142857143,6.542857142857143,6.542857142857143,6.542857142857143
Jennifer Connelly,5.7,5.7,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334,6.0,6.0
Regina Hall,5.3,5.3,5.566666666666666,5.566666666666666,5.540000000000001,5.650000000000001,5.9,5.9,5.9
Dakota Fanning,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715,6.314285714285715
Sam Rockwell,7.05,7.05,7.05,6.333333333333333,6.333333333333333,6.8,6.88,7.0,7.0
