Year,Rank,Title
2014,1,Guardians of the Galaxy
2014,2,The Hunger Games: Mockingjay - Part 1
2014,3,Captain America: The Winter Soldier
2014,4,The Lego Movie
2014,5,Transformers: Age of Extinction
2014,6,Maleficent
2014,7,X-Men: Days of Future Past
2014,8,Dawn of the Planet of the Apes
2014,9,Big Hero 6
2014,10,The Amazing Spider-Man 2
2014,11,Godzilla
2014,12,22 Jump Street
2014,13,Teenage Mutant Ninja Turtles
2014,14,The Hobbit: The Battle of the Five Armies
2014,15,Interstellar
2014,16,How to Train Your Dragon 2
2014,17,Gone Girl
2014,18,Divergent
2014,19,Neighbors
2014,20,Frozen
2014,21,Ride Along
2014,22,Rio 2
2014,23,Lucy
2014,24,Lone Survivor
2014,25,The Fault in Our Stars
2014,26,Mr. Peabody & Sherman
2014,27,300: Rise of an Empire
2014,28,The Maze Runner
2014,29,Noah
2014,30,The Equalizer
2014,31,Edge of Tomorrow
2014,32,Non-Stop
2014,33,Heaven Is for Real
2014,34,Fury
2014,35,Dumb and Dumber To
2014,36,Tammy
2014,37,Annabelle
2014,38,The Other Woman
2014,39,American Hustle
2014,40,Let's Be Cops
2014,41,The Monuments Men
2014,42,The Wolf of Wall Street
2014,43,Penguins of Madagascar
2014,44,Hercules
2014,45,The Purge: Anarchy
2014,46,Night at the Museum: Secret of the Tomb
2014,47,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
2014,48,Think Like a Man Too
2014,49,The Nut Job
2014,50,Into the Woods
2014,51,Unbroken
2014,52,God's Not Dead
2014,53,Son of God
2014,54,Planes: Fire & Rescue
2014,55,The Grand Budapest Hotel
2014,56,RoboCop
2014,57,Annie
2014,58,The Hobbit: The Desolation of Smaug
2014,59,Dracula Untold
2014,60,Exodus: Gods and Kings
2014,61,The Hundred-Foot Journey
2014,62,No Good Deed
2014,63,Horrible Bosses 2
2014,64,Muppets Most Wanted
2014,65,Ouija
2014,66,Jack Ryan: Shadow Recruit
2014,67,The Boxtrolls
2014,68,If I Stay
2014,69,The Book of Life
2014,70,About Last Night
2014,71,Into the Storm
2014,72,Jersey Boys
2014,73,The Judge
2014,74,Blended
2014,75,The Giver
2014,76,Need for Speed
2014,77,A Million Ways to Die in the West
2014,78,St. Vincent
2014,79,John Wick
2014,80,Dolphin Tale 2
2014,81,The Expendables 3
2014,82,Saving Mr. Banks
2014,83,Earth to Echo
2014,84,Sex Tape
2014,85,August: Osage County
2014,86,Million Dollar Arm
2014,87,Anchorman 2: The Legend Continues
2014,88,This Is Where I Leave You
2014,89,Paranormal Activity: The Marked Ones
2014,90,Nightcrawler
2014,91,Chef
2014,92,Get on Up
2014,93,3 Days to Kill
2014,94,Deliver Us from Evil
2014,95,When the Game Stands Tall
2014,96,The Hunger Games: Catching Fire
2014,97,Draft Day
2014,98,Oculus
2014,99,The Secret Life of Walter Mitty
2014,100,The Best of Me
2014,101,A Walk Among the Tombstones
2014,102,That Awkward Moment
2014,103,The November Man
2014,104,Birdman or (The Unexpected Virtue of Ignorance)
2014,105,Boyhood
2014,106,Her
2014,107,Endless Love
2014,108,The Theory of Everything
2014,109,Pompeii
2014,110,Transcendence
2014,111,"As Above, So Below"
2014,112,Top Five
2014,113,Philomena
2014,114,Brick Mansions
2014,115,The Imitation Game
2014,116,Wild
2014,117,Gravity
2014,118,"I, Frankenstein"
2014,119,The Gambler
2014,120,The Legend of Hercules
2014,121,12 Years a Slave
2014,122,Bears
2014,123,Addicted
2014,124,A Haunted House 2
2014,125,A Most Wanted Man
2014,126,Begin Again
2014,127,The Single Moms Club
2014,128,Devil's Due
2014,129,And So It Goes
2014,130,Step Up All In
2014,131,Beyond the Lights
2014,132,47 Ronin
2014,133,America: Imagine the World Without Her
2014,134,Left Behind
2014,135,Sin City: A Dame to Kill For
2014,136,Grudge Match
2014,137,Labor Day
2014,138,Winter's Tale
2014,139,Walking with Dinosaurs 3D
2014,140,Nebraska
2014,141,Dallas Buyers Club
2014,142,Belle
2014,143,The Drop
2014,144,Magic in the Moonlight
2014,145,Sabotage
2014,146,Moms' Night Out
2014,147,PK
2014,148,The Quiet Ones
2014,149,Legends of Oz: Dorothy's Return
2014,150,Island of Lemurs: Madagascar
2014,151,Inside Llewyn Davis
2014,152,Vampire Academy
2014,153,Bad Words
2014,154,A Madea Christmas
2014,155,Foxcatcher
2014,156,Cantinflas
2014,157,Big Eyes
2014,158,Meet the Mormons
2014,159,Whiplash
2014,161,The Skeleton Twins
2014,162,The Wind Rises
2014,163,Journey to the South Pacific
2014,164,Jerusalem
2014,165,Hubble 3D
2014,166,Snowpiercer
2014,167,The Railway Man
2014,168,Dear White People
2014,170,My Old Lady
2014,171,Fading Gigolo
2014,172,Thor: The Dark World
2014,173,Ida
2014,174,Calvary
2014,175,Wish I Was Here
2014,176,Ghostbusters  30th Anniversary Release
2014,177,The Interview
2014,178,What If
2014,179,The Grand Seduction
2014,180,Veronica Mars
2014,181,Mommy
2014,182,The Book Thief
2014,183,Before I Go to Sleep
2014,184,Rosewater
2014,185,Obvious Child
2014,186,Mandela: Long Walk to Freedom
2014,187,Cloudy with a Chance of Meatballs 2
2014,188,The Trip to Italy
2014,189,The Identical
2014,190,The Fluffy Movie: Unity Through Laughter
2014,191,Saving Christmas
2014,192,The Good Lie
2014,193,The Pyramid
2014,194,Space Station 3D
2014,195,The Raid 2
2014,196,Under the Skin
2014,197,The Admiral
2014,198,Dragon Ball Z: Battle of Gods
2014,199,Bang Bang
2014,200,Kick
2014,201,Captain Phillips
2014,202,Kill the Messenger
2014,204,2 States
2014,205,Le Week-End
2014,206,The Homesman
2014,207,Anchorman 2: The Legend Continues  R-Rated Extended Cut
2014,208,Citizenfour
2014,209,The Oscar Nominated Short Films 2014: Live Action
2014,210,Words and Pictures
2014,211,Gloria
2014,212,The Great Beauty
2014,213,The Immigrant
2014,214,Only Lovers Left Alive
2014,215,Tusk
2014,216,Tim's Vermeer
2014,217,Persecuted
2014,218,Fed Up
2014,219,Finding Vivian Maier
2014,220,Pride
2014,221,Locke
2014,222,Gimme Shelter
2014,223,American Sniper
2014,224,Justin Bieber's Believe
2014,225,Let There Be Victory
2014,226,Singham Returns
2014,227,The Past
2014,228,Free Birds
2014,229,Selma
2014,230,Repentance
2014,231,The Remaining
2014,232,The Invisible Woman
2014,233,Hector and the Search for Happiness
2014,234,Last Vegas
2014,235,Inherent Vice
2014,236,The Rover
2014,237,Force Majeure
2014,238,The Captive
2014,239,Laggies
2014,240,50 to 1
2014,241,Haider
2014,242,Third Person
2014,243,Stalingrad
2014,244,The Song
2014,245,Enemy
2014,246,Awake: The Life of Yogananda
2014,247,Delivery Man
2014,248,Walking with the Enemy
2014,249,Shaadi Ke Side Effects
2014,250,Darker Than Night
2014,251,Particle Fever
2014,252,Atlas Shrugged: Who Is John Galt?
2014,253,Dhoom 3
2014,254,Kochadaiiyaan
2014,255,Saw  10th Anniversary Release
2014,256,Life Itself
2014,257,Nymphomaniac: Vol. I
2014,258,Breakup Buddies
2014,259,Palo Alto
2014,260,Alone Yet Not Alone
2014,261,Ek Villain
2014,262,Land Ho!
2014,263,Yves Saint Laurent
2014,264,Khoobsurat
2014,265,Holiday
2014,266,"Men, Women & Children"
2014,268,Under the Sea 3D
2014,269,Bad Grandpa
2014,270,Mr. Turner
2014,271,The Babadook
2014,272,Jodorowsky's Dune
2014,273,Hasee Toh Phasee
2014,274,Frank
2014,275,Mary Kom
2014,276,Finding Fanny
2014,277,The Saratov Approach
2014,278,The Signal
2014,279,The Disappearance of Eleanor Rigby: Them
2014,280,The Tale of The Princess Kaguya
2014,281,Forrest Gump  2014 IMAX Release
2014,282,The Attorney
2014,283,23 Blast
2014,284,Cong cong na nian
2014,285,On Any Sunday: The Next Chapter
2014,286,Highway
2014,287,Dom Hemingway
2014,289,The One I Love
2014,290,Tracks
2014,291,The Two Faces of January
2014,292,Born to Be Wild
2014,293,Walking the Camino: Six Ways to Santiago
2014,294,To the Arctic 3D
2014,295,Ender's Game
2014,296,Lee Daniels' The Butler
2014,297,In Secret
2014,298,Last Days in Vietnam
2014,299,But Always
2014,300,Beijing Love Story
2014,301,Cold in July
2014,302,The German Doctor
2014,303,Pirates
2014,304,Blue Jasmine
2014,305,The Bride of Humpty Sharma
2014,306,Joe
2014,307,Women Who Flirt
2014,308,Glen Campbell: I'll Be Me
2014,309,Omar
2014,310,The Face of Love
2014,311,Le Chef
2014,312,Venus in Fur
2014,313,Jimi: All Is by My Side
2014,314,Chinese Puzzle
2014,315,I Origins
2014,316,"Like Father, Like Son"
2014,317,The Guest
2014,318,Elaine Stritch: Shoot Me
2014,319,Nymphomaniac: Vol. II
2014,320,Stranger by the Lake
2014,321,On My Way
2014,322,Happy Ending
2014,323,The Hornet's Nest
2014,325,Mood Indigo
2014,326,Innocence
2014,327,The Dance of Reality
2014,328,All Is Lost
2014,329,The Last of Robin Hood
2014,330,Elsa & Fred
2014,331,Kundo: Age of the Rampant
2014,332,"20,000 Days on Earth"
2014,333,The Unknown Known
2014,334,I'm Your Hero
