movie_title,key_words
Alvin and the Chipmunks: The Road Chip,"Alvin and the Chipmunks,The Road Chip"
Focus,Focus
Southpaw,Southpaw
Insidious: Chapter 3,"Insidious,3"
Sisters,Sisters
Poltergeist,Poltergeist
Jupiter Ascending,Jupiter Ascending
Sicario,Sicario
The Man from U.N.C.L.E.,The Man from
"McFarland, USA","McFarland,USA"
The Gift,The Gift
Everest,Everest
The Night Before,The Night Before
Max,Max
The Age of Adaline,The Age of Adaline
Krampus,Krampus
The Longest Ride,The Longest Ride
The Boy Next Door,The Boy Next Door
Pan,Pan
Hot Pursuit,Hot Pursuit
The Duff,The Duff
Woman in Gold,Woman in Gold
The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel
Unfriended,Unfriended
Entourage,Entourage
Paper Towns,Paper Towns
Chappie,Chappie
Crimson Peak,Crimson Peak
A Walk in the Woods,A Walk in the Woods
Joy,Joy
Sinister 2,Sinister 2
The Last Witch Hunter,The Last Witch Hunter
No Escape,No Escape
Ricki and the Flash,Ricki and the Flash
The Woman in Black 2: Angel of Death,"The Woman in Black 2,Angel of Death"
Run All Night,Run All Night
Love the Coopers,Love the Coopers
Spotlight,Spotlight
The Lazarus Effect,The Lazarus Effect
Ex Machina,Ex Machina
The Big Short,The Big Short
In the Heart of the Sea,In the Heart of the Sea
The Gallows,The Gallows
Hitman: Agent 47,"Hitman,Agent 47"
Project Almanac,Project Almanac
Black or White,Black or White
Aloha,Aloha
Secret in Their Eyes,Secret in Their Eyes
Brooklyn,Brooklyn
Shaun the Sheep Movie,Shaun the Sheep
Still Alice,Still Alice
Paranormal Activity: The Ghost Dimension,"Paranormal Activity,The Ghost Dimension"
Steve Jobs,Steve Jobs
Mr. Holmes,"Mr,Holmes"
Dope,Dope
Seventh Son,Seventh Son
Point Break,Point Break
It Follows,It Follows
American Ultra,American Ultra
Woodlawn,Woodlawn
Burnt,Burnt
The Hateful Eight,The Hateful Eight
Do You Believe?,Do You Believe
Love & Mercy,"Love,Mercy"
Hot Tub Time Machine 2,Hot Tub Time Machine 2
Self/less,"Self,less"
Far from the Madding Crowd,Far from the Madding Crowd
The 33,The 33
The Gunman,The Gunman
Unfinished Business,Unfinished Business
The Walk,The Walk
Huevos: Little Rooster's Egg-cellent Adventure,"Huevos,Little Rooster,Egg-cellent Adventure"
"Dragon Ball Z: Resurrection ""F""","Dragon Ball Z,F"
Blackhat,Blackhat
Mortdecai,Mortdecai
While We're Young,"While We,Young"
Finding Dory,Finding Dory
Rogue One: A Star Wars Story,"Rogue One,A Star Wars Story"
Captain America: Civil War,"Captain America,Civil War"
The Secret Life of Pets,The Secret Life of Pets
The Jungle Book,The Jungle Book
Deadpool,Deadpool
Zootopia,Zootopia
Batman v Superman: Dawn of Justice,"Batman v Superman,Dawn of Justice"
Suicide Squad,Suicide Squad
Doctor Strange,Doctor Strange
Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them
Jason Bourne,Jason Bourne
Star Trek Beyond,Star Trek Beyond
X-Men: Apocalypse,"X-Men,Apocalypse"
Sing,Sing
Trolls,Trolls
Kung Fu Panda 3,"Kung,Fu,Panda,3"
Ghostbusters,Ghostbusters
Central Intelligence,Central Intelligence
The Legend of Tarzan,The Legend of Tarzan
Sully,Sully
Bad Moms,Bad Moms
Independence Day: Resurgence,"Independence Day,Resurgence"
The Conjuring 2,The Conjuring 2
Sausage Party,Sausage Party
The Magnificent Seven,The Magnificent Seven
Arrival,Arrival
Ride Along 2,Ride Along 2
Don't Breathe,"Don,Breathe"
Miss Peregrine's Home for Peculiar Children,"Miss Peregrine,Home for Peculiar Children"
The Accountant,The Accountant
Teenage Mutant Ninja Turtles: Out of the Shadows,"Teenage Mutant Ninja Turtles,Out of the Shadows"
The Purge: Election Year,"The Purge,Election Year"
Alice Through the Looking Glass,Alice Through the Looking Glass
Pete's Dragon,"Pete,Dragon"
Tyler Perry's Boo! A Madea Halloween,"Tyler Perry,Boo,A Madea Halloween"
Storks,Storks
10 Cloverfield Lane,10 Cloverfield Lane
Lights Out,Lights Out
Allegiant,Allegiant
Now You See Me 2,Now You See Me 2
Hacksaw Ridge,Hacksaw Ridge
Ice Age: Collision Course,"Ice Age,Collision Course"
The Boss,The Boss
London Has Fallen,London Has Fallen
Miracles from Heaven,Miracles from Heaven
Deepwater Horizon,Deepwater Horizon
My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2
Jack Reacher: Never Go Back,"Jack Reacher,Never Go Back"
Me Before You,Me Before You
The BFG,The BFG
Neighbors 2: Sorority Rising,"Neighbors 2,Sorority Rising"
Passengers,Passengers
The Shallows,The Shallows
Barbershop: The Next Cut,"Barbershop,The Next Cut"
13 Hours,13 Hours
Office Christmas Party,Office Christmas Party
The Huntsman: Winter's War,"The Huntsman,Winter,War"
Kubo and the Two Strings,Kubo and the Two Strings
Warcraft,Warcraft
How to Be Single,How to Be Single
Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates
War Dogs,War Dogs
Almost Christmas,Almost Christmas
Money Monster,Money Monster
Allied,Allied
Nerve,Nerve
Risen,Risen
Assassin's Creed,"Assassin,Creed"
The Nice Guys,The Nice Guys
The Boy,The Boy
Dirty Grandpa,Dirty Grandpa
Ouija: Origin of Evil,"Ouija,Origin of Evil"
The 5th Wave,The 5th Wave
Inferno,Inferno
Mother's Day,"Mother,Day"
Gods of Egypt,Gods of Egypt
La La Land,La La Land
Why Him?,Why Him
"Hail, Caesar!","Hail,Caesar"
When the Bough Breaks,When the Bough Breaks
Zoolander 2,Zoolander 2
The Finest Hours,The Finest Hours
Florence Foster Jenkins,Florence Foster Jenkins
