timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-02-14T20:32:52,IM SO EXCITED IM CRYING TEARS,6,0,zoe f,Gvq6cMtT5nA,0.0875,2016-02-14 20:32:52,True,True
2016-02-14T20:33:23,Omg!!!😍😍😍,2,0,RitziandMe23,Gvq6cMtT5nA,0.0,2016-02-14 20:33:23,True,True
2016-02-14T20:34:47,I was crying omfg. THE FEEEELS,4,0,Shania,Gvq6cMtT5nA,-0.2,2016-02-14 20:34:47,True,True
2016-02-14T20:35:29,David needs to shut his ass up😒😑,134,15,BoneStudios15,Gvq6cMtT5nA,0.0,2016-02-14 20:35:29,True,True
2016-02-14T20:35:46,I love Divergent Series (movies and books) <3,16,5,Felipe Augusto,Gvq6cMtT5nA,0.75,2016-02-14 20:35:46,True,True
2016-02-14T20:37:20,OH MY GOODNESS😩😍,2,0,Milarubio,Gvq6cMtT5nA,0.0,2016-02-14 20:37:20,True,True
2016-02-14T20:37:57,ok but who was the one who fell off the wall??,2,7,Jennifer Vavra,Gvq6cMtT5nA,0.5,2016-02-14 20:37:57,True,True
2016-02-14T20:39:00,omfg i cant wait no long to see the movie 😱,5,0,Sibel Duru,Gvq6cMtT5nA,0.025,2016-02-14 20:39:00,True,True
2016-02-14T20:41:13,I can't wait to see the movie :D I loved it <3,1,0,Marcia Shigenaga,Gvq6cMtT5nA,0.9,2016-02-14 20:41:13,True,True
2016-02-14T20:43:51,In Poland march 11 ^^,1,0,Marox,Gvq6cMtT5nA,0.0,2016-02-14 20:43:51,True,True
2016-02-14T20:46:48,OH MY GOD😭😭😭😭 WHEN TRIS DIES I WILL TOO,1,0,_ marea_,Gvq6cMtT5nA,0.0,2016-02-14 20:46:48,True,True
2016-02-14T20:48:28,Is this the Mazurgnet Games Part One?,15,20,Naythan Millya,Gvq6cMtT5nA,0.0,2016-02-14 20:48:28,True,True
2016-02-14T20:51:41,I'm dying I LOVE THIS 😍😍😍😍,1,0,andreaaa,Gvq6cMtT5nA,0.5,2016-02-14 20:51:41,True,True
2016-02-14T20:52:16,holy shit. goosebumps all over my body,1,0,Zeynep Bulbul,Gvq6cMtT5nA,-0.2,2016-02-14 20:52:16,True,True
2016-02-14T20:53:11,OMG! I'm so excited!!!!!!!!!!!!!!!!!!!!!!!!!,2,0,Tyra Grace,Gvq6cMtT5nA,1.0,2016-02-14 20:53:11,True,True
2016-02-14T20:55:05,I CAN'T WAIT FOR THIS!! I'M SO EXCITING,1,0,roberto castro,Gvq6cMtT5nA,0.3,2016-02-14 20:55:05,True,True
2016-02-14T20:57:19,"0:02-0:04 - HOLY MOTHER OF OVARIES, MY BABIES. Totally just got a FourTris-spasm.  I CAN'T WAIT! MARCH IS GONNA BE GOOD, Y'ALL.",28,12,Hikaru Shuusei,Gvq6cMtT5nA,0.35,2016-02-14 20:57:19,True,True
2016-02-14T20:57:43,THIS IS PORTER ROBINSON THEY PLAYED PORTER ROBINSON OHMIGOD,50,7,Bailey Caron,Gvq6cMtT5nA,0.0,2016-02-14 20:57:43,True,True
2016-02-14T20:57:56,I can't wait!!! I don't remember being this excited for the first two and I know I was excited. But I'm freaking out over this one!! And it's probably only going to get worse for the next one.....even though I don't want to see the end lol,1,0,Ashley Wyble,Gvq6cMtT5nA,0.23013392857142856,2016-02-14 20:57:56,True,True
2016-02-14T20:58:44,😭😭,1,0,Krystal Tellez,Gvq6cMtT5nA,0.0,2016-02-14 20:58:44,True,True
2016-02-14T20:59:11,this is going to be the bomb. I can't wait to see this movie.,1,0,Joseph Rodriguez,Gvq6cMtT5nA,0.0,2016-02-14 20:59:11,True,True
2016-02-14T21:00:02,I need to watch it NOW,1,0,Magda Arias,Gvq6cMtT5nA,0.0,2016-02-14 21:00:02,True,True
2016-02-14T21:01:05,OMG I AM FREAKING OUT,0,0,The Queen Of Moons,Gvq6cMtT5nA,0.0,2016-02-14 21:01:05,True,True
2016-02-14T21:07:41,very exciting😱,1,0,Fabiola Rioa,Gvq6cMtT5nA,0.2,2016-02-14 21:07:41,True,True
2016-02-14T21:09:30,PORTER ROBINSON<3,243,25,Arianna W,Gvq6cMtT5nA,0.0,2016-02-14 21:09:30,True,True
2016-02-14T21:12:50,I'M DYING,1,0,Rodrigo Valenzuela,Gvq6cMtT5nA,0.0,2016-02-14 21:12:50,True,True
2016-02-14T21:17:02,Idek if I read the right book,4,5,Fangurl Videos,Gvq6cMtT5nA,0.2857142857142857,2016-02-14 21:17:02,True,True
2016-02-14T21:18:27,you don'y know how much i want to scream with excitement but i'm in the library  *does silent squeal*,1,0,Azure Brown,Gvq6cMtT5nA,0.1,2016-02-14 21:18:27,True,True
2016-02-14T21:21:06,this movies gonna kill me.,1,0,Claire Mills,Gvq6cMtT5nA,0.0,2016-02-14 21:21:06,True,True
2016-02-14T21:21:12,I can't wait any longer!!! This looks soooo amazing. Gosh. There is going to be Tris' and Fours date 😍😍 awww so excited! ,1,0,Selin A,Gvq6cMtT5nA,0.4895833333333333,2016-02-14 21:21:12,True,True
2016-02-14T21:27:00,0:54 Uriah??????,0,0,Gustavo Borges,Gvq6cMtT5nA,0.0,2016-02-14 21:27:00,True,True
2016-02-14T21:30:14,This trailer out of all the other Allegiant trailers touched me. Definitely hyped for this movie.,2,1,Nathan Maramis,Gvq6cMtT5nA,-0.0625,2016-02-14 21:30:14,True,True
2016-02-14T21:36:37,IM SOOOOOOOO EXITED FOR THIS,2,1,tyler madison,Gvq6cMtT5nA,0.0,2016-02-14 21:36:37,True,True
